created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-05-29 20:12:55+00:00,"RT @dilipkpandey: .@AshishXL Bhai, Plasma donation in this case, has been done, thanks to the donor and our health team (Santosh, Kiran, Si…",AkshayReddy_K,hyderabad india,"Content Writer | Patriot | Member : @AamAadmiParty National SM Team | Former - Secretary & Spokesperson, @AAPTELANGANA Youthwing.",1938,984,68762,False,".@AshishXL Bhai, Plasma donation in this case, has been done, thanks to the donor and our health team (Santosh, Kiran, Sirtaj, Gurpeet)🙏🏼
#StayHome #DelhiFightsCorona 
@sharmanagendar https://t.co/MGXZv3DzO5"
2020-05-29 20:12:59+00:00,Big News/Rumours https://t.co/gzA0Q9tjXK,sagarsubu,bhubaneswar orissa india,"The Ultimate Dream : To Meet @Sachin_rt : ĮMMỖŘŤÃĹ άţ 200*
$âçhïñ Īñ My ßlôød :) A PROUD SACHINIST
#OneOfTheProudIndians",396,315,8409,False,
2020-05-29 20:13:02+00:00,"RT @NehaSha61336218: Impact of COVID-19 on pregnancy 
#Obstetrics #Maternalhealth #childlife #UNICEF 

https://t.co/vIjP4gF9HT",Doctor4353,new delhi india,I wish to travel all over the country,143,2266,2398,False,"Impact of COVID-19 on pregnancy 
#Obstetrics #Maternalhealth #childlife #UNICEF 

https://t.co/vIjP4gF9HT"
2020-05-29 20:13:03+00:00,"RT @ANI: China's cover-up of the Wuhan virus allowed the disease to spread all over the world, instigating a global pandemic that has cause…",Amitsukool,india bharat,"Chemical engineer with automation by choice and Certificate,not by profession.
Generalist on any topic, you name it!",42,902,5041,False,"China's cover-up of the Wuhan virus allowed the disease to spread all over the world, instigating a global pandemic that has caused over 100000 American lives &amp; over a million lives worldwide. Chinese officials ignored their reporting obligations to WHO: US President Donald Trump https://t.co/jo15L2s38C"
2020-05-29 20:13:06+00:00,"RT @airnewsalerts: #COVID19 recovery rate improves to around 43 per cent; over 71,000 cured so far

https://t.co/dO48FjSEyb",sdt_83,india,,393,963,70564,False,"#COVID19 recovery rate improves to around 43 per cent; over 71,000 cured so far

https://t.co/dO48FjSEyb"
2020-05-29 20:13:08+00:00,"RT @charliekirk11: BREAKING:

President Trump just announced that the US will be TERMINATING our relationship with the WHO—the Wuhan Health…",shivie0911,india,Non Secular Indian|Anti-Congress and sometimes Anti-Modi| Product Enthusiast| Engineer,70,291,6405,False,"BREAKING:

President Trump just announced that the US will be TERMINATING our relationship with the WHO—the Wuhan Health Organization!

RT if you are THRILLED this is finally happening!"
2020-05-29 20:13:14+00:00,"RT @MoHFW_INDIA: #IndiaFightsCorona 

Let us all boost the morale of people who have recovered from #COVID19. They need our support. Togeth…",manishvats6,jharkhand india,student,0,65,16,False,"#IndiaFightsCorona 

Let us all boost the morale of people who have recovered from #COVID19. They need our support. Together we will fight #COVID19. 

#TiraskarNahiTilakKaro #HealthForAll #SwasthaBharat #CoronaOutbreak #Lockdown4 https://t.co/LgnxMyS4Ls"
2020-05-29 20:13:15+00:00,"RT @realDonaldTrump: Despite reports to the contrary, Sweden is paying heavily for its decision not to lockdown. As of today, 2462 people h…",amruthchand,india,Civil Engineer,59,196,617,False,"Despite reports to the contrary, Sweden is paying heavily for its decision not to lockdown. As of today, 2462 people have died there, a much higher number than the neighboring countries of Norway (207), Finland (206) or Denmark (443). The United States made the correct decision!"
2020-05-29 20:13:18+00:00,"RT @BengalNewz: #BigBreakingNews | In today's #WhiteHouse speech, #US President #DonaldTrump says #USA is ending its relationship with #Wor…",JayantaGhosh,kolkata west bengal india,"Founding Editor at @BengalNewz - subcontinent's leading independent news source since 1st June, 2008. Associate Editor at @DefenceNewz. | 📩 joydirect@gmail.com",333,145,2083,False,"#BigBreakingNews | In today's #WhiteHouse speech, #US President #DonaldTrump says #USA is ending its relationship with #WorldHealthOrganization (#WHO). | #BreakingNews @Breaking_24X7 #TrumpDepression #CoronaUpdates #CoronaVirusUpdates #CoronaVirus #CoronaPandemic @BengalNewzWorld"
2020-05-29 20:13:18+00:00,"RT @AAPExpress: 28 May

🔹 1024  NEW #Corona cases in Delhi in the last 24 hours, TOTAL- 16,281 cases.

🔹 231 Recovered today, TOTAL Recover…",AkshayReddy_K,hyderabad india,"Content Writer | Patriot | Member : @AamAadmiParty National SM Team | Former - Secretary & Spokesperson, @AAPTELANGANA Youthwing.",1938,984,68762,False,"28 May

🔹 1024  NEW #Corona cases in Delhi in the last 24 hours, TOTAL- 16,281 cases.

🔹 231 Recovered today, TOTAL Recovered - 7495.

🔹 Death toll rises to 316.
    
🔹 Number of active cases is 8470.

#DelhiFightsCorona https://t.co/w6jjgNAFhi"
